Marque;;trad/moderne;AUT1;AUT2;SBC1;SBC2;ANCR1;ANCR2;ANCR3;ANCR4;WOM1;WOM2;EVANG1;EVANG2;PP1;PP2;Genre;Age;Pays;Authenticité;SBC;WOM;EVANG;WPM;Ancrage;Classe
Bonne maman;;1;6;6;5;6;2;3;2;1;4;4;1;2;3;4;0;Entre 27 et 39 ans;France;6;5,5;4;1,5;3,5;2,047;3
Bonne maman;;1;4;4;3;4;4;4;4;3;4;4;3;3;4;4;0;Entre 27 et 39 ans;France;4;3,5;4;3;4;3,781;2
Burger King;;2;5;5;3;4;2;2;2;4;5;3;4;3;3;3;1;Entre 18 et 26 ans;France;5;3,5;4;3,5;3;2,438;3
Burger King;;2;4;4;2;4;2;1;1;1;5;4;1;1;3;1;1;Entre 27 et 39 ans;France;4;3;4,5;1;2;1,246;3
Burger King;;2;5;5;5;5;5;4;4;5;4;4;4;4;4;4;1;Entre 18 et 26 ans;France;5;5;4;4;4;4,465;2
Burger King;;1;3;3;2;3;2;3;2;2;2;3;3;2;2;3;1;Entre 27 et 39 ans;France;3;2,5;2,5;2,5;2,5;2,266;2
Burger King;;2;4;4;4;4;2;1;1;2;4;5;2;1;5;4;0;Entre 27 et 39 ans;France;4;4;4,5;1,5;4,5;1,465;1
Burger King;;2;5;4;5;5;5;5;4;3;5;5;5;5;4;4;1;Entre 18 et 26 ans;France;4,5;5;5;5;4;4,293;1
Burger King;;2;2;2;2;4;2;2;2;3;3;2;1;1;2;2;1;Entre 18 et 26 ans;France;2;3;2,5;1;2;2,219;2
Burger King;;2;4;4;4;4;4;4;4;4;4;3;4;4;4;5;0;Entre 18 et 26 ans;France;4;4;3,5;4;4,5;4;2
Burger King;;2;4;4;4;4;4;4;4;5;4;4;3;3;2;3;0;Entre 40 et 59 ans;France;4;4;4;3;2,5;4,219;3
Burger King;;2;6;6;4;6;5;4;4;5;6;4;3;3;3;2;0;Entre 40 et 59 ans;France;6;5;5;3;2,5;4,465;3
Burger King;;2;4;4;3;3;3;3;3;5;3;3;3;3;4;3;0;Entre 27 et 39 ans;France;4;3;3;3;3,5;3,438;2
Burger King;;2;4;4;4;4;3;3;3;4;4;4;3;3;3;3;1;Entre 27 et 39 ans;France;4;4;4;3;3;3,219;3
Burger King;;2;1;1;1;1;1;1;1;1;1;1;1;1;1;1;0;Entre 27 et 39 ans;France;1;1;1;1;1;1;2
Burger King;;1;3;3;2;1;3;2;2;4;3;1;1;1;3;1;1;Entre 27 et 39 ans;France;3;1,5;2;1;2;2,684;2
Burger King;;2;2;2;1;1;1;3;3;2;2;1;1;1;4;1;0;Entre 27 et 39 ans;France;2;1;1,5;1;2,5;2,289;2
Burger King;;1;4;4;3;4;3;3;3;5;5;3;3;1;3;2;0;Plus de 60 ans;France;4;3,5;4;2;2,5;3,438;3
Burger King;;2;5;6;4;6;3;3;4;3;6;5;6;5;5;5;0;Entre 18 et 26 ans;France;5,5;5;5,5;5,5;5;3,269;1
Burger King;;2;4;4;4;5;4;5;5;6;5;5;5;5;5;3;1;Entre 18 et 26 ans;France;4;4,5;5;5;4;4,973;2
Burger King;;2;4;4;1;2;4;2;2;1;4;1;1;1;3;1;0;Entre 27 et 39 ans;France;4;1,5;2,5;1;2;2,273;3
Burger King;;2;4;2;4;3;1;1;1;2;4;4;1;1;3;2;1;Entre 18 et 26 ans;France;3;3,5;4;1;2,5;1,219;1
Burger King;;2;6;5;5;6;3;2;2;5;5;4;2;2;3;4;0;Entre 18 et 26 ans;France;5,5;5,5;4,5;2;3,5;2,902;3
Burger King;;2;3;3;2;2;3;2;2;2;3;2;1;1;4;3;0;Entre 40 et 59 ans;France;3;2;2,5;1;3,5;2,246;2
Burger King;;2;3;3;2;4;2;2;2;3;3;3;1;1;3;2;0;Entre 27 et 39 ans;France;3;3;3;1;2,5;2,219;2
Burger King;;2;6;5;5;6;4;4;3;2;5;6;6;4;6;5;1;Entre 18 et 26 ans;France;5,5;5,5;5,5;5;5,5;3,293;1
Burger King;;2;6;6;4;4;5;5;5;5;4;4;3;3;4;4;1;Entre 18 et 26 ans;France;6;4;4;3;4;5;2
Burger King;;2;3;3;3;3;1;2;3;3;3;3;3;2;2;2;0;Entre 27 et 39 ans;France;3;3;3;2,5;2;2,242;3
Burger King;;2;4;4;1;4;1;1;1;6;4;3;2;1;2;1;0;Entre 40 et 59 ans;France;4;2,5;3,5;1,5;1,5;2,094;3
Burger King;;1;6;5;2;2;4;3;4;4;3;3;1;1;2;3;0;Entre 27 et 39 ans;France;5,5;2;3;1;2,5;3,734;3
Burger King;;1;2;3;2;3;3;3;2;6;3;2;2;2;3;5;0;Entre 18 et 26 ans;France;2,5;2,5;2,5;2;4;3,387;2
Burger King;;1;4;4;2;3;2;2;2;2;2;2;1;1;3;3;0;Entre 40 et 59 ans;France;4;2,5;2;1;3;2;3
Burger King;;2;2;2;1;2;2;2;2;2;2;1;1;1;4;1;1;Entre 27 et 39 ans;France;2;1,5;1,5;1;2,5;2;2
Burger King;;2;2;2;2;3;3;2;2;3;3;1;2;2;4;2;0;Entre 27 et 39 ans;France;2;2,5;2;2;3;2,465;2
Burger King;;2;5;4;5;5;1;2;2;1;4;4;3;3;1;2;1;Entre 27 et 39 ans;France;4,5;5;4;3;1,5;1,535;3
Burger King;;2;1;1;1;1;1;1;1;1;1;2;1;1;1;1;0;Entre 18 et 26 ans;France;1;1;1,5;1;1;1;2
Burger King;;2;1;1;1;1;1;1;1;1;1;2;1;1;1;2;0;Entre 18 et 26 ans;France;1;1;1,5;1;1,5;1;2
Burger King;;2;5;5;5;5;4;4;4;5;5;5;3;3;3;4;1;Entre 18 et 26 ans;France;5;5;5;3;3,5;4,219;3
Burger King;;2;5;6;3;4;2;4;4;3;5;4;1;1;2;3;0;Entre 18 et 26 ans;France;5,5;3,5;4,5;1;2,5;3,289;3
Burger King;;2;4;2;3;3;4;3;4;2;4;3;2;1;4;2;1;Entre 27 et 39 ans;France;3;3;3,5;1,5;3;3,296;2
Burger King;;2;5;4;3;3;3;4;4;6;5;4;4;5;5;2;0;Entre 18 et 26 ans;France;4,5;3;4,5;4,5;3,5;4,192;2
Burger King;;2;4;4;2;2;5;4;4;4;4;4;1;1;3;3;1;Entre 27 et 39 ans;France;4;2;4;1;3;4,246;3
Burger King;;2;4;4;3;4;2;3;2;2;4;3;2;2;4;4;0;Entre 40 et 59 ans;France;4;3,5;3,5;2;4;2,266;1
Burger King;;2;4;4;2;4;3;3;3;4;4;4;3;3;3;3;0;Entre 27 et 39 ans;France;4;3;4;3;3;3,219;3
Burger King;;2;6;5;5;6;2;2;2;2;5;6;4;3;3;1;1;Entre 18 et 26 ans;France;5,5;5,5;5,5;3,5;2;2;1
Burger King;;2;4;5;3;4;5;1;1;6;4;4;2;3;5;2;0;Entre 27 et 39 ans;France;4,5;3,5;4;2,5;3,5;3,078;1
Burger King;;2;4;3;2;4;3;1;2;3;4;3;2;1;3;2;1;Entre 18 et 26 ans;France;3,5;3;3,5;1,5;2,5;2,199;3
Burger King;;2;6;4;4;5;1;1;1;1;6;6;1;1;1;5;1;Entre 18 et 26 ans;France;5;4,5;6;1;3;1;3
Burger King;;2;3;3;2;3;1;1;1;3;3;2;2;2;4;1;0;Entre 27 et 39 ans;France;3;2,5;2,5;2;2,5;1,438;2
Burger King;;2;4;4;3;3;2;1;1;3;4;2;2;2;3;2;1;Entre 18 et 26 ans;France;4;3;3;2;2,5;1,684;3
Burger King;;2;3;3;1;1;2;1;1;1;1;1;1;1;4;1;0;Entre 27 et 39 ans;France;3;1;1;1;2,5;1,246;2
Burger King;;2;5;5;1;1;4;1;1;4;3;1;2;1;2;1;0;Entre 18 et 26 ans;France;5;1;2;1,5;1,5;2,394;3
Burger King;;2;4;3;3;4;3;2;2;4;4;4;2;2;3;3;0;Entre 18 et 26 ans;France;3,5;3,5;4;2;3;2,684;3
Burger King;;2;5;5;5;5;4;5;4;2;4;3;5;5;4;4;1;Entre 18 et 26 ans;France;5;5;3,5;5;4;3,828;1
Burger King;;2;3;3;4;4;3;3;3;4;3;3;3;3;3;1;1;Entre 27 et 39 ans;France;3;4;3;3;2;3,219;2
Burger King;;2;2;2;2;2;2;2;3;2;2;3;2;3;2;2;1;Entre 27 et 39 ans;France;2;2;2,5;2,5;2;2,269;2
Burger King;;2;4;3;2;3;2;2;2;4;3;3;2;1;3;2;0;Entre 27 et 39 ans;France;3,5;2,5;3;1,5;2,5;2,438;2
Burger King;;2;4;4;4;3;2;1;1;4;3;1;1;1;3;1;0;Entre 40 et 59 ans;France;4;3,5;2;1;2;1,902;3
Burger King;;2;5;4;5;4;3;2;3;3;5;4;3;3;1;2;1;Entre 27 et 39 ans;France;4,5;4,5;4,5;3;1,5;2,734;3
Burger King;;2;5;5;3;4;4;3;4;4;3;3;1;1;3;4;0;Entre 27 et 39 ans;France;5;3,5;3;1;3,5;3,734;3
Burger King;;2;4;3;2;4;2;2;1;4;4;3;2;2;3;4;0;Entre 18 et 26 ans;France;3,5;3;3,5;2;3,5;2,168;3
Burger King;;2;4;4;4;5;2;2;2;3;4;5;3;3;4;4;0;Entre 18 et 26 ans;France;4;4,5;4,5;3;4;2,219;1
Burger King;;2;2;2;1;1;2;2;1;5;2;3;2;2;4;2;1;Entre 18 et 26 ans;France;2;1;2,5;2;3;2,387;2
Burger King;;2;4;4;3;4;2;2;2;3;4;4;3;2;3;3;1;Entre 18 et 26 ans;France;4;3,5;4;2,5;3;2,219;3
Burger King;;2;2;2;1;2;1;1;1;3;1;2;2;1;4;1;1;Entre 27 et 39 ans;France;2;1,5;1,5;1,5;2,5;1,438;2
Burger King;;2;3;5;1;1;1;3;3;4;1;1;1;1;3;1;0;Entre 27 et 39 ans;France;4;1;1;1;2;2,727;2
Burger King;;2;4;5;4;5;3;4;4;5;4;5;3;4;3;3;0;Entre 18 et 26 ans;France;4,5;4,5;4,5;3,5;3;3,973;3
Burger King;;1;2;3;2;3;3;2;4;4;2;3;2;2;2;3;0;Entre 18 et 26 ans;France;2,5;2,5;2,5;2;2,5;3,222;2
Burger King;;2;5;5;3;4;1;1;1;3;4;4;2;2;5;4;1;Entre 18 et 26 ans;France;5;3,5;4;2;4,5;1,438;1
Burger King;;2;6;6;6;6;5;4;5;3;6;6;2;2;2;4;0;Entre 18 et 26 ans;France;6;6;6;2;3;4,296;3
Burger King;;2;6;5;5;6;4;4;4;4;4;4;3;3;3;4;0;Entre 27 et 39 ans;France;5,5;5,5;4;3;3,5;4;3
Burger King;;2;6;5;5;6;1;2;2;2;6;6;3;3;2;1;1;Entre 18 et 26 ans;France;5,5;5,5;6;3;1,5;1,754;3
Burger King;;2;5;5;5;5;4;4;3;4;4;5;4;4;4;5;0;Entre 18 et 26 ans;France;5;5;4,5;4;4,5;3,731;1
Burger King;;1;2;3;2;3;2;3;5;5;1;1;2;3;3;5;0;Entre 18 et 26 ans;France;2,5;2,5;1;2,5;4;3,73;2
Burger King;;2;4;3;4;4;4;2;4;5;4;4;1;1;3;2;1;Entre 18 et 26 ans;France;3,5;4;4;1;2,5;3,687;2
Burger King;;1;3;3;1;1;1;1;1;1;2;2;1;1;1;1;1;Entre 27 et 39 ans;France;3;1;2;1;1;1;2
Burger King;;2;1;1;1;1;1;5;5;6;2;2;2;2;2;2;1;Entre 27 et 39 ans;France;1;1;2;2;2;4,235;2
Burger King;;2;6;5;3;5;1;4;5;3;6;4;1;1;3;2;0;Entre 27 et 39 ans;France;5,5;4;5;1;2,5;3,312;3
Burger King;;1;5;5;5;5;4;3;3;4;5;5;4;4;4;3;0;Entre 18 et 26 ans;France;5;5;5;4;3,5;3,465;1
Burger King;;2;4;4;4;4;1;1;1;4;4;4;2;2;4;1;1;Entre 27 et 39 ans;France;4;4;4;2;2,5;1,656;3
Burger King;;2;3;3;4;3;3;3;3;3;3;3;3;3;4;3;0;Entre 27 et 39 ans;France;3;3,5;3;3;3,5;3;2
Burger King;;2;4;4;4;4;3;4;3;4;3;2;4;4;5;4;0;Entre 18 et 26 ans;France;4;4;2,5;4;4,5;3,485;2
Burger King;;2;3;2;3;4;2;2;2;3;4;3;2;1;3;1;1;Entre 27 et 39 ans;France;2,5;3,5;3,5;1,5;2;2,219;1
Burger King;;2;5;3;3;4;1;1;3;5;5;5;3;3;3;4;1;Entre 18 et 26 ans;France;4;3,5;5;3;3,5;2,413;3
Burger King;;1;1;1;1;1;2;1;1;3;2;1;1;1;3;1;1;Entre 18 et 26 ans;France;1;1;1,5;1;2;1,684;2
Burger King;;1;4;4;3;4;1;3;3;5;4;4;1;2;3;5;0;Entre 18 et 26 ans;France;4;3,5;4;1,5;4;2,945;1
Burger King;;2;1;2;2;3;1;3;1;5;1;2;1;1;3;1;1;Entre 18 et 26 ans;France;1,5;2,5;1,5;1;2;2,407;2
Burger King;;2;4;4;5;5;4;4;4;4;5;5;4;4;4;3;0;Entre 27 et 39 ans;France;4;5;5;4;3,5;4;2
Burger King;;2;4;4;3;4;1;1;1;4;4;4;1;1;4;3;1;Entre 27 et 39 ans;France;4;3,5;4;1;3,5;1,656;1
Burger King;;2;4;4;4;4;3;3;4;4;4;4;3;3;2;2;1;Entre 27 et 39 ans;France;4;4;4;3;2;3,488;3
Burger King;;2;2;3;1;1;1;3;5;4;1;1;1;1;4;1;0;Entre 18 et 26 ans;France;2,5;1;1;1;2,5;3,265;2
Burger King;;2;3;3;3;3;2;3;3;4;2;2;1;1;2;1;1;Entre 18 et 26 ans;France;3;3;2;1;1,5;2,973;2
Burger King;;2;5;4;3;5;4;4;2;2;5;5;2;2;1;1;1;Entre 18 et 26 ans;France;4,5;4;5;2;1;3,024;3
Burger King;;2;3;3;2;3;2;3;2;2;3;3;2;1;1;1;0;Entre 18 et 26 ans;France;3;2,5;3;1,5;1;2,266;2
Burger King;;2;5;4;4;4;4;4;4;4;4;3;3;3;4;4;1;Entre 18 et 26 ans;France;4,5;4;3,5;3;4;4;2
Burger King;;2;3;2;3;2;2;2;3;4;3;2;1;2;3;3;0;Entre 27 et 39 ans;France;2,5;2,5;2,5;1,5;3;2,707;2
Burger King;;2;6;6;4;6;5;4;4;6;6;5;4;3;3;3;0;Entre 40 et 59 ans;France;6;5;5,5;3,5;3;4,684;3
Burger King;;2;5;5;3;5;1;1;1;5;4;4;3;2;4;4;0;Plus de 60 ans;France;5;4;4;2,5;4;1,875;1
Burger King;;2;4;4;3;4;4;3;3;4;4;4;1;1;3;3;0;Entre 27 et 39 ans;France;4;3,5;4;1;3;3,465;3
Burger King;;2;3;3;2;2;2;2;2;4;3;2;2;2;2;2;0;Entre 27 et 39 ans;France;3;2;2,5;2;2;2,438;2
Burger King;;2;3;4;1;3;1;4;4;1;2;1;1;1;3;1;1;Entre 27 et 39 ans;France;3,5;2;1,5;1;2;2,606;2
Burger King;;2;4;4;4;4;3;3;3;3;4;4;3;3;3;3;0;Entre 40 et 59 ans;France;4;4;4;3;3;3;3
Burger King;;2;5;5;4;6;2;2;3;4;6;6;4;4;4;4;0;Entre 27 et 39 ans;France;5;5;6;4;4;2,707;3
Burger King;;2;4;4;4;4;4;3;5;4;4;4;5;4;4;4;0;Entre 40 et 59 ans;France;4;4;4;4,5;4;4,003;2
Burger King;;2;4;4;2;2;3;3;3;3;1;1;1;1;4;1;1;Entre 18 et 26 ans;France;4;2;1;1;2,5;3;2
Burger King;;2;5;5;6;6;3;3;3;3;6;6;5;4;2;2;0;Entre 18 et 26 ans;France;5;6;6;4,5;2;3;3
Burger King;;2;4;4;2;4;2;1;1;1;4;4;1;1;2;3;0;Entre 27 et 39 ans;France;4;3;4;1;2,5;1,246;3
Burger King;;2;4;4;4;4;3;4;4;3;4;4;5;4;3;4;0;Entre 18 et 26 ans;France;4;4;4;4,5;3,5;3,535;3
Burger King;;2;4;4;3;3;3;2;2;2;3;3;1;1;4;2;1;Entre 40 et 59 ans;France;4;3;3;1;3;2,246;1
Burger King;;2;5;4;4;5;2;3;2;3;3;4;2;3;5;3;0;Entre 18 et 26 ans;France;4,5;4,5;3,5;2,5;4;2,485;1
Burger King;;2;1;1;1;1;4;3;3;2;2;3;3;2;2;3;0;Entre 18 et 26 ans;France;1;1;2,5;2,5;2,5;3,027;2
Burger King;;2;5;5;4;5;4;3;3;2;5;4;3;2;3;4;0;Entre 18 et 26 ans;France;5;4,5;4,5;2,5;3,5;3,027;1
Burger King;;2;2;2;3;2;2;3;4;3;2;2;1;1;5;2;0;Entre 27 et 39 ans;France;2;2,5;2;1;3,5;3,023;2
Burger King;;2;3;3;1;1;1;2;1;3;3;1;1;1;3;1;1;Entre 40 et 59 ans;France;3;1;2;1;2;1,704;2
Burger King;;2;5;5;4;5;2;1;2;1;6;5;4;5;4;5;0;Entre 27 et 39 ans;France;5;4,5;5,5;4,5;4,5;1,515;3
Burger King;;2;5;4;5;5;2;2;2;3;3;2;1;2;2;1;1;Entre 27 et 39 ans;France;4,5;5;2,5;1,5;1,5;2,219;3
Burger King;;2;4;4;3;4;4;4;4;4;4;4;2;1;4;3;0;Plus de 60 ans;France;4;3,5;4;1,5;3,5;4;1
Burger King;;2;3;4;3;4;3;3;3;3;4;4;3;2;3;3;0;Entre 18 et 26 ans;France;3,5;3,5;4;2,5;3;3;3
Burger King;;2;3;3;3;4;3;3;1;3;4;3;3;1;3;3;0;Entre 18 et 26 ans;France;3;3,5;3,5;2;3;2,462;2
Burger King;;2;3;1;1;3;3;2;2;2;2;2;1;1;5;2;0;Entre 18 et 26 ans;France;2;2;2;1;3,5;2,246;2
Burger King;;2;3;3;3;4;1;1;1;1;4;4;2;1;4;3;1;Entre 18 et 26 ans;France;3;3,5;4;1,5;3,5;1;1
Burger King;;1;2;3;3;2;2;3;2;4;2;3;2;3;3;5;0;Entre 18 et 26 ans;France;2,5;2,5;2,5;2,5;4;2,704;2
Burger King;;2;4;4;3;5;1;3;4;4;4;4;3;1;3;2;0;Entre 18 et 26 ans;France;4;4;4;2;2,5;2,996;3
Burger King;;2;6;5;5;5;1;1;2;2;6;6;2;2;2;1;1;Entre 18 et 26 ans;France;5,5;5;6;2;1,5;1,488;3
Burger King;;1;6;6;3;5;1;1;1;1;5;4;1;1;6;6;0;Entre 18 et 26 ans;France;6;4;4,5;1;6;1;1
Burger King;;2;1;1;1;1;2;1;1;3;1;1;2;1;5;1;1;Entre 27 et 39 ans;France;1;1;1;1,5;3;1,684;2
Burger King;;2;5;5;4;5;4;4;2;3;5;5;3;3;3;4;1;Entre 18 et 26 ans;France;5;4,5;5;3;3,5;3,243;3
Burger King;;2;4;4;1;4;1;1;1;1;4;4;1;1;1;1;1;Entre 27 et 39 ans;France;4;2,5;4;1;1;1;3
Burger King;;2;4;4;4;3;1;3;1;2;4;4;1;1;4;2;1;Entre 18 et 26 ans;France;4;3,5;4;1;3;1,751;1
Burger King;;2;5;5;5;5;5;5;4;4;5;5;4;4;4;3;0;Entre 27 et 39 ans;France;5;5;5;4;3,5;4,512;1
Burger King;;1;5;3;4;4;5;2;3;1;4;2;3;3;4;1;1;Entre 18 et 26 ans;France;4;4;3;3;2,5;2,788;3
Burger King;;2;4;3;3;3;2;2;2;1;3;3;3;3;4;3;0;Entre 27 et 39 ans;France;3,5;3;3;3;3,5;1,781;2
Burger King;;2;4;4;2;2;2;2;2;2;3;2;2;2;2;2;0;Entre 27 et 39 ans;France;4;2;2,5;2;2;2;3
Burger King;;2;2;4;1;1;4;1;4;4;1;1;1;1;5;1;0;Entre 18 et 26 ans;France;3;1;1;1;3;3,202;2
Burger King;;2;4;4;3;4;2;2;2;2;4;4;2;2;5;4;1;Entre 18 et 26 ans;France;4;3,5;4;2;4,5;2;1
Burger King;;2;3;2;2;3;1;2;1;1;2;3;1;1;2;2;0;Entre 27 et 39 ans;France;2,5;2,5;2,5;1;2;1,266;2
Burger King;;2;3;3;3;4;2;2;2;2;4;5;3;3;2;2;1;Entre 27 et 39 ans;France;3;3,5;4,5;3;2;2;3
Burger King;;1;2;2;2;2;3;2;2;3;2;1;1;2;2;2;1;Entre 18 et 26 ans;France;2;2;1,5;1,5;2;2,465;2
Burger King;;1;2;2;2;2;2;2;2;2;2;3;2;2;2;2;1;Entre 27 et 39 ans;France;2;2;2,5;2;2;2;2
Burger King;;2;5;5;3;5;3;2;2;3;5;5;3;3;3;3;1;Entre 18 et 26 ans;France;5;4;5;3;3;2,465;3
Burger King;;2;3;3;2;3;2;3;2;2;3;2;2;2;5;3;0;Entre 18 et 26 ans;France;3;2,5;2,5;2;4;2,266;2
Burger King;;2;4;4;4;4;3;4;4;4;4;3;4;4;4;4;0;Entre 40 et 59 ans;France;4;4;3,5;4;4;3,754;2
Burger King;;2;1;1;2;1;3;1;1;1;1;1;1;1;3;1;0;Entre 18 et 26 ans;France;1;1,5;1;1;2;1,492;2
Burger King;;2;3;2;3;4;2;2;1;3;3;2;1;1;3;1;1;Entre 27 et 39 ans;France;2,5;3,5;2,5;1;2;1,95;1
Burger King;;1;5;4;2;4;4;4;4;3;4;4;3;3;3;3;1;Entre 40 et 59 ans;Autre;4,5;3;4;3;3;3,781;3
Burger King;;2;1;2;2;1;1;1;1;3;2;1;1;1;2;1;1;Entre 27 et 39 ans;France;1,5;1,5;1,5;1;1,5;1,438;2
Burger King;;2;4;3;3;5;3;1;3;3;5;5;1;1;3;4;1;Entre 18 et 26 ans;France;3,5;4;5;1;3,5;2,468;3
Burger King;;1;5;5;6;4;4;4;3;3;4;4;3;2;4;3;0;Entre 27 et 39 ans;France;5;5;4;2,5;3,5;3,512;1
Burger King;;1;3;3;2;4;4;2;4;4;4;2;1;1;2;1;0;Entre 18 et 26 ans;France;3;3;3;1;1,5;3,468;2
Burger King;;1;5;4;1;3;4;3;3;3;3;3;1;1;2;1;1;Entre 40 et 59 ans;France;4,5;2;3;1;1,5;3,246;3
Burger King;;2;2;2;1;2;2;2;2;2;2;2;2;2;2;2;0;Entre 18 et 26 ans;France;2;1,5;2;2;2;2;2
Burger King;;2;5;5;4;4;3;4;3;3;4;3;1;1;2;2;0;Entre 27 et 39 ans;France;5;4;3,5;1;2;3,266;3
Burger King;;2;2;3;2;3;2;2;2;4;2;1;2;1;5;2;1;Entre 27 et 39 ans;France;2,5;2,5;1,5;1,5;3,5;2,438;2
Burger King;;2;3;4;3;4;3;3;4;5;5;4;6;4;6;5;1;Entre 27 et 39 ans;France;3,5;3,5;4,5;5;5,5;3,707;2
Burger King;;2;5;5;3;4;2;2;2;2;4;4;3;3;2;1;0;Entre 40 et 59 ans;France;5;3,5;4;3;1,5;2;3
